level,ds_type,chunk_size,pipeline_category,pipeline_base_name,operator_name,row_count,sample_count,skipped_count,rmse,mae,mape,accuracy,actual_time_sum,pred_time_sum
by_operator,image,,,,image_face_ratio_filter,948,948,0,0.34954974154842455,0.130441173958879,13.690335403378048,86.30966459662196,801.03,740.7189463376999
by_operator,image,,,,image_nsfw_filter,948,948,0,0.3878202609126974,0.08703393359224504,5.4895130247626565,94.51048697523734,903.3340000000001,897.5826863050461
by_operator,image,,,,image_remove_background_mapper,1896,1896,0,0.26170935897272635,0.1714648169812271,9.783694999616147,90.21630500038385,3477.419,3326.192466855049
by_operator,image,,,,image_segment_mapper,2844,2844,0,1.3187424538851973,0.5292286913757083,11.412140039090893,88.5878599609091,7623.946,6452.52400290966
by_operator,image,,,,image_shape_filter,2844,2844,0,0.5267374913253279,0.45496667052321293,20.768370998798414,79.23162900120158,6439.917,6237.921977519989
by_operator,image,,,,image_size_filter,1896,1896,0,0.7630735100738665,0.5598732494674151,17.427801569218328,82.57219843078167,5373.8679999999995,4470.680629014969
by_operator,image,,,,image_tagging_mapper,1896,1896,0,1.90270531554534,0.9926712252585697,11.782976812030247,88.21702318796976,9563.406,7750.051851630211
by_operator,text,,,,alphanumeric_filter,360,360,0,1.082557730601377,0.8437471454434924,32.24214875957361,67.75785124042639,811.0660000000001,1045.2531036138535
by_operator,text,,,,average_line_length_filter,180,180,0,0.034673406015349,0.027817912424935216,3.4831589711930113,96.516841028807,146.04899999999998,148.85031116008759
by_operator,text,,,,character_repetition_filter,180,180,0,0.40796418752053415,0.33460250511169437,8.276100780409294,91.7238992195907,709.5060000000001,675.4951829910278
by_operator,text,,,,clean_copyright_mapper,540,540,0,0.4399388017868399,0.4075801640863772,25.420374950125264,74.57962504987474,944.077,1163.3308289051056
by_operator,text,,,,clean_email_mapper,360,360,0,0.440228830532505,0.41215213987562394,27.168000251145422,72.83199974885457,548.3,696.6747703552246
by_operator,text,,,,clean_ip_mapper,540,540,0,0.29552127982958437,0.25571052567517316,16.388184748114536,83.61181525188546,943.9590000000001,1076.447645664215
by_operator,text,,,,clean_links_mapper,540,540,0,0.2521766684742464,0.2090099961951927,12.75381641032453,87.24618358967547,953.577,1047.7762699127197
by_operator,text,,,,document_simhash_deduplicator,540,540,0,0.19667334575395576,0.10459874337867453,10.003687381555041,89.99631261844496,531.793,578.5850219726562
by_operator,text,,,,fix_unicode_mapper,360,360,0,0.13322104914788965,0.10971607855690849,6.569710656084991,93.430289343915,679.285,712.5983400344849
by_operator,text,,,,flagged_words_filter,180,180,0,0.051181943605414115,0.04318430697653028,5.440636061252898,94.5593639387471,146.02100000000002,152.91915428638458
by_operator,text,,,,language_id_score_filter,360,360,0,0.3652642370141684,0.23370132608148786,11.801835837399285,88.19816416260072,575.319,654.3820463418961
by_operator,text,,,,maximum_line_length_filter,360,360,0,0.2698987498985277,0.18677787971496584,8.222984034390198,91.7770159656098,776.992,760.366607427597
by_operator,text,,,,perplexity_filter,180,180,0,0.033757228307394464,0.02697596806950038,3.475431709659472,96.52456829034053,141.441,143.3322674036026
by_operator,text,,,,punctuation_normalization_mapper,540,540,0,0.2641358322758005,0.21517251255247327,12.633192314148058,87.36680768585194,1026.704,1107.4015548229218
by_operator,text,,,,remove_long_words_mapper,360,360,0,0.13889669153390047,0.11596959152221681,7.038648384858687,92.96135161514131,667.1589999999999,689.9935231208801
by_operator,text,,,,remove_repeat_sentences_mapper,360,360,0,0.1423800792099182,0.11948589746157327,7.275815156041944,92.72418484395806,670.406,697.1982338428497
by_operator,text,,,,remove_specific_chars_mapper,360,360,0,0.13963947384701283,0.11563321402867635,7.006640604969233,92.99335939503077,668.434,702.1765427589417
by_operator,text,,,,remove_table_text_mapper,360,360,0,0.5437084314810764,0.5222545662985908,30.461884763676718,69.53811523632328,668.77,856.7816438674927
by_operator,text,,,,remove_words_with_incorrect_substrings_mapper,540,540,0,0.3592524452379254,0.3051006550470988,17.481104805009366,82.51889519499063,1075.402,1185.652750968933
by_operator,text,,,,replace_content_mapper,180,180,0,0.5114917556133751,0.4343141158739726,27.984937717136575,72.01506228286343,315.499,388.19884037971497
by_operator,text,,,,sentence_split_mapper,360,360,0,0.1252118230734395,0.10573991841740078,6.312945850244235,93.68705414975577,670.173,693.4423463344574
by_operator,text,,,,stopwords_filter,180,180,0,0.032069938039099244,0.02580895285076563,3.153854098058654,96.84614590194134,145.464,143.13510012626648
by_operator,text,,,,text_action_filter,180,180,0,0.05012561395579049,0.04219790028995936,5.474779143513496,94.5252208564865,141.774,148.5071769952774
by_operator,text,,,,text_entity_dependency_filter,360,360,0,0.09373201535984334,0.08368090427981482,10.543264178005561,89.45673582199444,288.137,318.1375447511673
by_operator,text,,,,text_length_filter,360,360,0,0.8094661525880285,0.6445478450775146,12.99406164848272,87.00593835151727,1613.971,1404.8477659225464
by_operator,text,,,,token_num_filter,180,180,0,0.040536522664473634,0.03323965700467425,4.255730632710346,95.74426936728966,143.39300000000003,148.348925948143
by_operator,text,,,,whitespace_normalization_mapper,540,540,0,0.21609599203143498,0.17911560139832672,10.439614211113145,89.56038578888686,1040.554,1095.2166047096252
by_operator,text,,,,word_repetition_filter,540,540,0,0.2066858751532847,0.1351932810995314,9.755166902791336,90.24483309720867,699.865,730.0806324481964
by_operator,text,,,,words_num_filter,540,540,0,0.3138262448544025,0.21960821573469375,7.377626801674041,92.62237319832596,1370.984,1326.8396162986755
by_operator_chunk_size,audio,100.0,,,audio_add_gaussian_noise_mapper,213,213,0,1.0150957419834554,0.9994251041322807,36.422110433256975,63.577889566743025,592.988,805.8655471801758
by_operator_chunk_size,audio,200.0,,,audio_add_gaussian_noise_mapper,107,107,0,1.0353493936253417,1.0310943088709752,36.648109902419066,63.351890097580934,301.351,411.67809104919434
by_operator_chunk_size,audio,500.0,,,audio_add_gaussian_noise_mapper,43,43,0,1.0742209013059674,1.0642030734572299,37.59639127635276,62.40360872364724,122.19099999999999,167.9517321586609
by_operator_chunk_size,audio,1000.0,,,audio_add_gaussian_noise_mapper,22,22,0,0.7010053377255248,0.6697038210088557,20.018037925391425,79.98196207460857,75.14099999999999,89.87448406219482
by_operator_chunk_size,audio,100.0,,,audio_duration_filter,639,639,0,1.127883354105482,0.9911789068780222,32.36411669511366,67.63588330488633,2087.5499999999997,2720.913321495056
by_operator_chunk_size,audio,200.0,,,audio_duration_filter,321,321,0,1.0785584158437296,0.9747993489559568,31.3724327758265,68.6275672241735,1052.666,1365.576591014862
by_operator_chunk_size,audio,500.0,,,audio_duration_filter,129,129,0,1.0992294622878245,0.9137295547307925,28.615658010451885,71.38434198954812,441.962,559.1423802375793
by_operator_chunk_size,audio,1000.0,,,audio_duration_filter,66,66,0,0.8504299770507368,0.5927683718710235,16.20361414707134,83.79638585292867,263.22900000000004,296.29974126815796
by_operator_chunk_size,audio,100.0,,,audio_ffmpeg_wrapped_mapper,426,426,0,2.6298609151824452,2.392459590428312,125.6220751698207,-25.622075169820704,779.508,1798.695785522461
by_operator_chunk_size,audio,200.0,,,audio_ffmpeg_wrapped_mapper,214,214,0,2.1359769514177405,2.0140235967190465,86.47336716784082,13.52663283215918,510.537,941.538049697876
by_operator_chunk_size,audio,500.0,,,audio_ffmpeg_wrapped_mapper,86,86,0,1.0506844811000402,1.0046632390798524,30.69456537362612,69.30543462637388,387.84,474.2410385608673
by_operator_chunk_size,audio,1000.0,,,audio_ffmpeg_wrapped_mapper,44,44,0,2.1568946632342003,1.744548838702115,21.68952089758692,78.31047910241308,349.9069999999999,303.3902177810669
by_operator_chunk_size,audio,100.0,,,audio_nmf_snr_filter,639,639,0,27.285093993031172,26.9082806935676,143.401277312972,-43.40127731297201,13258.302,30452.693363189697
by_operator_chunk_size,audio,200.0,,,audio_nmf_snr_filter,321,321,0,16.548483242549626,15.616766867569302,44.89262462130899,55.10737537869101,12623.788,17636.770164489746
by_operator_chunk_size,audio,500.0,,,audio_nmf_snr_filter,129,129,0,9.720043445762267,7.662569847639216,9.067005868257173,90.93299413174283,12257.954,12624.291118621826
by_operator_chunk_size,audio,1000.0,,,audio_nmf_snr_filter,66,66,0,23.278245364865146,18.962591765895038,10.528723200418495,89.4712767995815,12112.990000000002,11127.50012588501
by_operator_chunk_size,audio,100.0,,,audio_size_filter,426,426,0,0.32138532851177287,0.31373116640977455,14.107912193400871,85.89208780659914,945.962,813.1445689201355
by_operator_chunk_size,audio,200.0,,,audio_size_filter,214,214,0,0.3333057840985512,0.3266268952628162,14.705703694092549,85.29429630590745,474.73699999999997,406.2110209465027
