level,ds_type,chunk_size,pipeline_category,pipeline_base_name,operator_name,row_count,sample_count,skipped_count,rmse,mae,mape,accuracy,actual_time_sum,pred_time_sum
by_operator,text,,,,word_repetition_filter,540,540,0,0.3128581947855667,0.20622123728504888,15.465193267998485,84.53480673200151,699.865,727.6274569034576
by_operator,text,,,,words_num_filter,540,540,0,0.5546674142415108,0.3921548101601777,13.362379282292892,86.63762071770711,1370.984,1216.0692505836487
by_operator_chunk_size,audio,100.0,,,audio_add_gaussian_noise_mapper,213,213,0,0.31532112086227393,0.2381064334833566,8.981758387028387,91.01824161297161,592.988,635.3115684986115
by_operator_chunk_size,audio,200.0,,,audio_add_gaussian_noise_mapper,107,107,0,0.40751909797120645,0.3633720725228853,12.947218260486537,87.05278173951346,301.351,340.123752117157
by_operator_chunk_size,audio,500.0,,,audio_add_gaussian_noise_mapper,43,43,0,0.7847760766282397,0.75166256208198,26.585436270642557,73.41456372935744,122.19099999999999,154.3337140083313
by_operator_chunk_size,audio,1000.0,,,audio_add_gaussian_noise_mapper,22,22,0,0.47889489892773035,0.44427153344587855,13.176364752733578,86.82363524726642,75.14099999999999,84.91497373580933
by_operator_chunk_size,audio,100.0,,,audio_duration_filter,639,639,0,0.3486153887014419,0.29959894382673813,9.67715085753042,90.32284914246958,2087.5499999999997,2111.4951152801514
by_operator_chunk_size,audio,200.0,,,audio_duration_filter,321,321,0,0.4582574014794181,0.3292283717122776,11.043639598364612,88.9563604016354,1052.666,1130.260534286499
by_operator_chunk_size,audio,500.0,,,audio_duration_filter,129,129,0,0.6289414353679651,0.5123533229088598,15.966733849978615,84.03326615002139,441.962,496.5216612815857
by_operator_chunk_size,audio,1000.0,,,audio_duration_filter,66,66,0,0.4990371446044139,0.4143120902090362,10.835558924813448,89.16444107518655,263.22900000000004,266.7907257080078
by_operator_chunk_size,audio,100.0,,,audio_ffmpeg_wrapped_mapper,426,426,0,2.533388320631891,2.4240378228532315,131.3820906998441,-31.3820906998441,779.508,1812.1481125354767
by_operator_chunk_size,audio,200.0,,,audio_ffmpeg_wrapped_mapper,214,214,0,2.143728281117871,2.117236425667166,99.88488673996564,0.11511326003436295,510.537,963.6255950927734
by_operator_chunk_size,audio,500.0,,,audio_ffmpeg_wrapped_mapper,86,86,0,1.346048806863191,1.1235350831941118,44.69170033686939,55.30829966313061,387.84,478.6070065498352
by_operator_chunk_size,audio,1000.0,,,audio_ffmpeg_wrapped_mapper,44,44,0,2.3137659730569378,2.0782568215456876,31.59593173099181,68.40406826900819,349.9069999999999,319.04669094085693
by_operator_chunk_size,audio,100.0,,,audio_nmf_snr_filter,639,639,0,6.291867656964738,5.451237796741659,31.30945266653133,68.69054733346867,13258.302,15468.73978805542
by_operator_chunk_size,audio,200.0,,,audio_nmf_snr_filter,321,321,0,11.417215340874733,9.68350907270485,22.467160252416594,77.53283974758341,12623.788,9653.239385604858
by_operator_chunk_size,audio,500.0,,,audio_nmf_snr_filter,129,129,0,44.589398587474456,41.71325872483364,42.47078684914014,57.52921315085986,12257.954,6876.94362449646
by_operator_chunk_size,audio,1000.0,,,audio_nmf_snr_filter,66,66,0,115.54828939181287,108.12457238168429,56.81157248482995,43.18842751517005,12112.990000000002,4976.768222808838
